AthleteName	Graduation	BeltColor	BeltDegree	Academy	Federation	FederationAbbr
Aaron J. Blake	Black Belt Second Degree	Black	2	Aaron Blake Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Joseph France	Black Belt First Degre	Black	1	BETA Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Joseph Zaballos	Black Belt	Black		Double Five Highland Village	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Keolaokalani Reis	Black Belt	Black		Maui Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Michael Ard	Black Belt Second Degree	Black	2	Super System BJJ	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Michael Martinez	Black Belt	Black		Coalition 95	United States Brazilian Jiu-Jitsu Federation	USBJJF
Aaron Michael Milam	Black Belt Second Degree	Black	2	Renzo Gracie Academy Portland	United States Brazilian Jiu-Jitsu Federation	USBJJF
Abby Brooke Malone	Black Belt Third Degree	Black	3	Jory Malone Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Abdallah Ismail Hassan Jaber	Black Belt Third Degree	Black	3	Gracie Barra Campo Grande - MS	Confederação Brasileira de Jiu-Jitsu	CBJJ
Abdel Aziz Cherigui	Black Belt Third Degree	Black	3	Gracie Barra Ajman - UAE	International Brazilian Jiu-Jitsu Federation	IBJJF
Abdelghafour Ben Brahim	Black Belt First Degre	Black	1	PAT Academy Belgium	International Brazilian Jiu-Jitsu Federation	IBJJF
Abenildo Fernandes	Black Belt First Degre	Black	1	Academia Coliseu	Confederação Brasileira de Jiu-Jitsu	CBJJ
Abiderman Souza Carvalho	Black Belt	Black		Academia Deo	Confederação Brasileira de Jiu-Jitsu	CBJJ
Abmar Marcelo Barbosa	Black Belt Third Degree	Black	3	Abmar Barbosa Association	United States Brazilian Jiu-Jitsu Federation	USBJJF
Abraao Amorim Magalhaes	Black Belt First Degre	Black	1	Gulf Breeze Brazilian Jiu-Jitsu / Checkmat	United States Brazilian Jiu-Jitsu Federation	USBJJF
Abraão Pereira Santareno	Black Belt Second Degree	Black	2	Gracie Barra Laranjeiro	Federação Portuguesa de Jiu-Jitsu Brasileiro	FPJJB
Adalberto Maia Vital Júnior	Black Belt First Degre	Black	1	Carioca Team	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adalton de Carvalho	Black Belt First Degre	Black	1	Tonicão Team BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adam Bruce Sachnoff	Black Belt First Degre	Black	1	10th Planet Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam D Depew	Black Belt Second Degree	Black	2	Choke-U	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam G. Coleman	Black Belt	Black		Bowie MMA	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam Glenn Golden	Black Belt Third Degree	Black	3	Gracie Barra Orlando	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam Jones	Black Belt	Black		Lin Martial Arts	International Brazilian Jiu-Jitsu Federation	IBJJF
Adam Kiely	Black Belt	Black		Mill Hill BJJ	International Brazilian Jiu-Jitsu Federation	IBJJF
Adam M Sawyer	Black Belt	Black		Equipe Tsunami Brazilian Jiu-Jitsu	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adam Marc Brofsky	Black Belt Second Degree	Black	2	Villardo Jiu Jitsu Academy	United States Brazilian Jiu-Jitsu Federation	USBJJF
Adamo Vasconcelos  Fraga	Black Belt	Black		Brazilian Fight	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adão Almeida Vasconcelos	Black Belt Third Degree	Black	3	BD Team BJJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
Adão de Sousa Moura Neto	Black Belt Second Degree	Black	2	João Roque JJ	Confederação Brasileira de Jiu-Jitsu	CBJJ
