"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations (0=Yes, 1=No)";"id";"NOTES"
"Padilla Brazilian Jiu Jitsu";"http://padillabjj.com/";(267) 772-4471;"2125 28th Street, Suite 150 ";"Allentown";"PA";18103;;"United States";"Self-Defense, Fitness, Combat Techniques & More!";"http://padillabjj.com/wp-content/uploads/2019/03/logo_white_faded.png";;;;;;;"http://padillabjj.com/full-schedule";;"Mike Padilla";;"padillabjj@gmail.com ";"https://www.facebook.com/padillabjjpa/";;;;1;1188;
"Zombie Brazilian Jiu-Jitsu and MMA";"https://zombiebjjpa.com/";(484) 538-5296;"1801 Union Blvd, Suite H2";"Allentown";"PA";18109;"5/5 Stars";"United States";"We Help Average People Become Experts at Defending Themselves Using Brazilian Jiu-Jitsu.";"https://3vkl0o3iauq014o6k83tdh26-wpengine.netdna-ssl.com/wp-content/uploads/2016/09/zombieco.png";"https://zombiebjjpa.com/lil-zombies-5-7-yrs-old/";"Our Kids Brazilian Jiu-Jitsu program is designed to help your child build confidence through a strong Jiu-Jitsu foundation. The “Lil-Zombies” program will give your child a basic understanding of self-defense techniques & understanding of Brazilian Jiu-Jitsu. These classes will teach your child how to defend themselves against bullies or attackers (even if the attacker is bigger and stronger). The kids BJJ Curriculum includes beginner level techniques, coordination drills, interactive games as well as the time to explore how these techniques work against a person who is trying fight back.";;;;;"https://zombiebjjpa.com/schedule/";;"Jeremy Henderson";;;"https://www.facebook.com/ZombieBJJPA/";"https://www.youtube.com/user/JeremyHendo";"https://youtu.be/s_8XTdNYNzk";;1;1190;
"Tiger Schulmann's Martial Arts";"https://tsk.com/";(610) 615-9162;"4654 Broadway";"Allentown";"PA";18104;;"United States";"The Allentown location of Tiger Schulmann’s offers classes in kickboxing, kids’ martial arts, mixed martial arts, karate, Muay Thai and jiu jitsu classes for all skill levels. Under the direction of Shihan James Simpson and his team of handpicked, highly trained and skilled teachers, you and/or your children will set and reach long-term fitness goals while gaining key self-defense skills, self-discipline, and a higher level of confidence. In a hurry to get back to work? We’ve got you covered with on-site parking and showers";"https://tsk.com/wp-content/uploads/2015/12/logo-tiger-schulmanns.png";"https://tsk.com/locations/pennsylvania-locations/allentown/kids-martial-arts";"The kids martial arts curriculum at the Allentown location of Tiger Schulmann’s Mixed Martial Arts helps your child achieve success in all aspects of his or her life. Because learning martial arts with us isn’t just about giving your child the confidence, focus, and strength he or she needs to tackle any of life’s challenges. It is about helping your child find his or her place in a 30 year legacy of former and present Tiger Schulmann’s Mixed Martial Arts students who are Ivy Leaguers, successful doctors, lawyers, teachers, scientists, and everything in between. We like to call that success rate Kidfidence. Unlike other kids martial arts programs, Tiger Schulmann’s Mixed Martial Arts has been an institution of excellence for more than 30 years. Master Daniel “Tiger” Schulmann, and his team of expert instructors, blended the most effective martial arts styles, techniques, and values to create the cornerstone of Tiger Schulmann’s Mixed Martial Arts. Our curriculum is dynamic and ever-changing, just like your child. Master Schulmann and his team of expertly trained instructors make continual refinements and innovations to ensure that our students receive the best, most effective training possible. Your child will gain confidence, focus, discipline, tenacity, and the ability to protect himself or herself through our exercise programs. When we say your child will be trained by experts, we mean it. All of our instructors are trained in child psychology and have a minimum of 10 years of high-level martial arts training. To keep their skills in tip-top shape, each instructor trains every week with Master Schulmann and his brother Ron, an 8th degree black belt, at our headquarters in Elmwood Park, New Jersey. The Allentown school is even owned and run by dedicated Tiger Schulmann’s instructors! Our bully prevention and self-defense techniques really work and the Tiger Schulmann’s MMA Competition Team has the championship belts to prove it. So come by and see why the Allentown location of Tiger Schulmann’s Mixed Martial Arts is the best place for your child. Because it’s a fact, confident kids are happy, successful kids. And the parents of confident kids are proud parents.";;;"Kickboxing, MMA, Karate, Muay Thai";;"http://www.tsk.com/schedules/upload/allentown.pdf";;"James Simpson";;"allentown@tsk.com";"https://www.facebook.com/TigerSchulmannsAllentownPA/";"https://www.youtube.com/channel/UCHFkfPoMIh4mPnSCmx856WQ";"https://youtu.be/oH0x5yErFe4";;1;1189;
"3rd Generation Jiu-Jitsu Academy";"https://graciepa.com/";(267) 382-8301;"274 Hunsberger Lane";"Harleysville";"PA";19438;;"United States";"Serving the Montgomery County and Bucks County areas in Pennsylvania. We are affiliated with The 3rd Generation Jiu-Jitsu Team, teaching the art of Gracie/Brazilian Jiu-Jitsu, BJJ self defense and MMA. Stop by and visit or try out a class for free, we are within minutes of Doylestown, Chalfont, Perkasie, Souderton, Quakertown, Harleysville, Newtown, New Hope, Collegeville, Royersford, Lansdale, Montgomeryville and the Lehigh Valley.";"https://graciepa.com/wp-content/uploads/2017/06/3g_jiujitsu_logo_small.png";"https://graciepa.com/classes/kids-program-coming-soon/";"It’s not just about bully prevention ….It’s about instilling the skills that give them the choice whether to engage or diffuse that confrontation. It’s not just about exercising a couple of times a week…It’s about giving them the gift of learning and living a healthy lifestyle. It’s not about giving them false confidence…It’s about teaching them to have the grit to get through whatever situation life throws at them. Our kids classes are held on Tuesdays, Thursdays at 5:30pm and Saturdays at 9:30am. Girls and boys ages 7 to 13.";;;"Muay Thai";;"https://graciepa.com/schedule/#mp-timetable-go:all";;"Rosendo Diaz";;"rdbjjblackbelt@gmail.com";"https://www.facebook.com/pajiujitsu/";"https://www.youtube.com/user/RGDAPennsylvania";"https://youtu.be/53MIg5lrS0k";;1;1197;
"Deep Water Brazilian Jiu Jitsu";"https://www.deepwaterbjjacademy.com/";(717) 649-0765;"732 Colonial Rd";"Harrisburg";"PA";17112;"5/5 Stars";"United States";"Our martial arts school and fitness center is located near Penbrook and Paxtang, PA, in Pennsylvania and is in easy driving distance to Progress, Colonial Park, Wormleysburg, Enola and the Hershey area.";"https://www.deepwaterbjjacademy.com/wp-content/uploads/2019/04/DeepWaterBJJLogo.png";"https://www.deepwaterbjjacademy.com/harrisburg-pa-kids-brazilian-jiu-jitsu/";"Want your kid to learn: respect, leadership and how to defend themselves in a safe, clean and friendly environment? Your Child Can Now Try The Best Kid’s Brazilian Jiu-Jitsu Program At The Best Harrisburg BJJ School…";;;"Muay Thai, Boxing";;;;;"30 days free trial offer!";;"https://www.facebook.com/DeepWaterBJJ/";"https://www.youtube.com/channel/UCv4vLSg3vWj_EVk_a4F8Pvw";"https://youtu.be/Lct6EfnUXhs";;1;1199;
"Armezzani Jiu Jitsu Academy";"http://pittsburghbjj.net/";(412) 742-9368;"1126 Pennsylvania Ave";"Monaca";"PA";15061;;"United States";"Welcome to the Pittsburgh area's premier Brazilian Jiu-Jitsu Academy, the top place to train Gi, No-gi, and striking for MMA in the Pittsburgh region. Our elite instructors and highly-skilled students will take your grappling to a new level. Come train with Pro MMA fighter and active IBJJF adult black belt competitor Louis Armezzani. Located in downtown Monaca, PA, Armezzani BJJ is convenient to the Pittsburgh and Pittsburgh airport vicinities.";"http://www.pittsburghbjj.net/template/plpgh-website1.jpg";"http://www.pittsburghbjj.net/classes/youth-bjj/";"Brazilian Jiu-Jitsu is by far the best self-defense for children and teens. Brazilian Jiu Jitsu focuses on grappling and submission techniques. Students learn take-downs, falling, grips, controls, and submissions which are highly effective for neutralizing, controlling, and restraining opponents. Students learn the core techniques of Brazilian Jiu Jitsu through drilling and sparring. Because Brazilian Jiu Jitsu training doesn't involve any striking, students can spar live during every class, significantly acceralting their learning. ";"http://www.pittsburghbjj.net/classes/womens-only-bjj/";"The grappling / close-combat nature of Brazilian Jiu Jitsu make it an ideal self-defense technique for women. The practice of Brazilian Jiu-Jitsu provides individuals a core skillset and mindset that will benefit them throughout nearly every aspect of their life. Brazilian Jiu Jitsu may be the toughest yet most-enjoyable form of physical fitness, increasing students' strength, flexibility, stamina, balance, and focus. In addition, Brazilian Jiu Jitsu is the most practical form of self-defense. By applying lessons and techniques off the mat, students tend to improve their entire lifestyle and general well-being. The BJJ classes teaches these basic principles of effective fighting. Benefit of Joining our Fundamentals Classes: Learn the fundamentals of Brazilian Jiu-Jitsu; Increase focus, energy and concentration;  Enjoy significant gains in your overall fitness level; Learn the best self-defense art; Make great friendships; Increase self-confidence ";"Muay Thai, No-Gi Submission Grappling";;"http://www.pittsburghbjj.net/academy/schedule/";;"Louis Armezzani";;;"https://www.facebook.com/ArmezzaniJiuJitsu/";"https://www.youtube.com/channel/UCDFTvDGAMI8hCocvxeGrYOQ";"https://youtu.be/92yhKE8w9zc";;1;1196;
"Balance Studios Center City";"http://www.balancestudios.net/";(215) 636-9661;"2100 Chestnut St., 2nd floor";"Philadelphia";"PA";19103;"5/5 Stars";"United States";"When Balance Studios opened its original location in Center City Philadelphia in 2002, Phil Migliarese had already been a Gracie affiliate since 1988. He and his brother Ricardo Migliarese learned jiu-jitsu directly from the Gracie Family, earning their black belts directly Relson Gracie, son of Helio Gracie. Their vision for Balance Studios was a place that provides the best and most conscientious martial-arts instruction in an atmosphere that is safe, clean, and organized. Balance Studios brings together Gracie Jiu-Jitsu, Muay Thai, and yoga together, all in the same place, for students in Center City and University City, appealing to a large and diverse student population from all walks of life. Balance Studios Center City is upgrading its brand in 2019 – moving to a new, bigger, and better location where blue mats, white walls, and complementary woodwork will accent the school’s well-established reputation as a clean and professional school providing a valued experience to students.";"http://www.balancestudios.net/wp-content/uploads/2016/10/Screen-Shot-2016-10-22-at-4.14.09-PM.png";"http://www.balancestudios.net/programs/philadelphia-kids-childrens-mixed-martial-arts-bjj-jiujitsu-karate-programs-in-philly/";"Other martial arts systems teach violence against violence. They teach a child to react with punches, kicks, knees, and elbows. The Bully Self Defense program starts by  teaching children how to verbally defuse a violent situation, to stop violence before it starts. However, if attacked, our students know Gracie Jiu Jitsu techniques that are defensive, use no striking, and can non-violently neutralize a bully. The confidence provided by the Bully Self Defense program teaches our students, as the Gracie’s say, “to fight fire with water – not fire.”";"http://www.balancestudios.net/programs/philadelphia-womens-self-defense-philly/";"Escape Program - EasyEscape is an ongoing program that focuses on getting away from an attacker intelligently and with as little energy as possible. This program is a blend of strength training, yoga, Brazilian jiu-jitsu self defense, and striking. The focus is on escaping dangerous situations on the street. This is not a sport but a means of survival. Women’s only jiu-jitsu - After completing our Gracie Basic Program, female students have the option of joining our woman only meet up. This program consists of Brazilian Jiu-Jitsu Classes and Open Mat times for the women enrolled in our programs.";"Muay Thai, Boxing, Striking, MMA";;"http://www.balancestudios.net/schedule/";;"Phil Migliarese III, Ricardo Migliarese";"7 Days Free";;"https://www.facebook.com/BalanceMMA/";"https://www.youtube.com/user/jiujitsumatrix";"https://youtu.be/m5uqCZWRKqs";;0;1174;
"Osagame";"http://www.osagame.com/";(267) 357-1262;"1168 S Broad St";"Philadelphia";"PA";19146;;"United States";"We are Osagame, Home of The Philadelphia Judo Club, the oldest continuously operating martial arts organization in the greater Philadelphia area. We offer classes in Judo, Brazilian Jiu Jitsu, Kettlebells, Self Defense, Women’s Self Defense, and No Gi, with classes for adults and children. We are a Philadelphia-based community connected by teaching, learning and training Judo and Jiu Jitsu with members from Pennsylvania, New Jersey and Delaware.";"https://images.squarespace-cdn.com/content/544d7edee4b07de01f7156b2/1444175803415-VHI8A3NPYMWFJJ7T78JJ/osagame-01.png?content-type=image%2Fpng";"http://www.osagame.com/classes";"Our kids' program is divided into two distinct programs: Kids' Bjj and Kids' Judo.   Both programs combine aspects of the traditional martial arts, self-defense, and fun!  Your child will learn important skills and traits such as team-work, dedication, and a good work ethic in addition to developing their confidence, physical skills, and overall health.   ";;;"Judo, Kettlebells";;"http://www.osagame.com/classes";;"Ray Huxen";;"philadelphiajudo@gmail.com";"https://www.facebook.com/osagame/";"https://www.youtube.com/user/phillyjudo1";"https://youtu.be/M4wFmNmIR7E";;1;1181;
"Gracie Academy Philadelphia";"https://www.phlbjj.com/";(215) 839-6501;"1231 Bainbridge St";"Philadelphia";"PA";19147;"5/5 Stars";"United States";"Our newly renovated training facility offers all the perks you could hope for in a gym. There are two floors of Dollamur matt space with spring loaded subfloor for extra protection. We have separate women and mens locker rooms with showers for all students. We also pride ourselves in a cleanly and healthy matt surface, sweeping and disinfecting twice a day. Come check us out conveniently located in Center City Philadelphia.";"https://images.squarespace-cdn.com/content/5a6377d629f187b303ac0796/1516469619740-OBGM8D9OOKXB56X7JEPJ/GraciePhiladelphiaLogo.png?content-type=image%2Fpng";"https://www.phlbjj.com/kids-classes";"Gracie Academy Philadelphia teaches martial arts to kids ages 5+, depending on size and maturity. Trials available for 4 year olds. Students learn both self defense and self confidence and have a lot of fun! Whether on the playground or dealing with a bully in school, kids with a Gracie Jiu-Jitsu education learn how to use prevention to avoid confrontation in the first place and how to protect themselves and avoid injury if necessary. Jiu-Jitsu takes natural tendencies towards wrestling behavior and gives them form, function, and responsibility. Our kids class is for ages 5+This class combines both sport and self defense instruction for a fun blend and great exercise with a practical goal. Every child gets a one-week trial to make sure both the parents and children are happy. Discounts for more than one family member apply, and uniforms are provided for the trial week! It couldn’t be easier to get your child started on one of the healthiest paths they can be on.";;;"Judo";;"https://www.phlbjj.com/schedule-jpg";;"Brian Rago";;"info@phlbjj.com";"https://www.facebook.com/graciehumaitaphiladelphia/";;"https://youtu.be/I_D0HXZfzks?list=PLHeNGKGN2kkNUR8FDk_-iCs8eg6q63CiS";;1;1177;
"Roots Athletics";"http://www.rootsphilly.com/";(215) 593-0060;"2101 Brandywine St #100";"Philadelphia";"PA";19130;"5/5 Stars";"United States";"Roots Athletics Philadelphia is the leading innovator in modern martial arts and martial arts-based fitness. We offer an experience that is not duplicated by any other academy or gym. Our detailed philosophy embraces values of both solid tradition and constant innovation, and keeps us on the horizon of  practical, current, and proven martial arts. Brazilian Jiu Jitsu and Thai Boxing anchor the teachings of Roots Athletics. Meanwhile, our F.I.T curriculum is developed in tandem to service the strength & conditioning needs for those who train in these martial arts at all levels, be they beginners or competitive athletes.  We at the Roots Academy believe a clean aesthetic and a clean dojo directly translate to clean technique...and clean technique trumps all.  Join us today to begin your journey. ";"https://images.squarespace-cdn.com/content/55721b39e4b0888fee574887/1508448190055-NKJDH8XZ9X18B52B31OF/image1.jpeg?content-type=image%2Fjpeg";"http://www.rootsphilly.com/sir-james-condi-montauk";"Roots Kids BJJ program is designed to give our children a head start into life with practical social skills, respect for themselves and others, positive attitudes, rational problem solving, and healthy fitness habits not to mention the ability to protect themselves when they’re outside of our control as parents. No adult ever said they regretted their parents putting them in martial arts as a child. We at Roots believe Brazilian Jiu Jitsu should be an integral part of a child’s athletic and social development. Roots is dedicated to growing with our families to build wonderful adults from our amazing children.";;;"Thai Boxing, NoGi Submission Grappling, F.I.T (Functional Interval Training)";;"http://www.rootsphilly.com/schedule";"Mon-Thurs: 10:00am-1:00pm, 3:00pm-8:30pm; Sat: 9:00am-2:00pm";"Kristian Woodmansee";;"rootsphilly@rootsphilly.com ";"https://www.facebook.com/rootsathleticsphiladelphia/";"https://www.youtube.com/channel/UCqc7C703mzjdjQCMnYI8Tew";"https://youtu.be/igXOx8zUriI";;1;1185;
