"Name";"Website";"Phone";"Address";"City";"State";"Zip";"Stars";"Country";"Details";"Logo URL*";"Kids Program URL";"Kids Program Detail";"Women Only Program URL";"Women Only Program Detail";"Other Programs (MMA/Boxing/Etc)";"Rate/Pricing(BJJ Only)";"Schedule URL";"Business Hour";"Head Professor";"Special Offer";"Email*";"Facebook URL";"Youtube Channel";"Video URL(Official Only)";"Awards*";"Multiple Locations(For Affiliates-Yes)";"Note"
"9 Round Fitness";"https://www.9round.com/";" +1 205-518-6160";"2766 John Hawkins Pkwy #100";"Hoover";"AL";35244;"5/5 Stars";"United States";"9Round is a specialized fitness center for people who want an unique, fun, and proven workout that guarantees results.

9Round offers a kickboxing themed fitness program that incorporates a functional, interval, cardiovascular, and circuit training regimens.

The programs consist of a proprietary system of nine challenging workout stations developed by a World Champion Kickboxer.

- A fast, fun 30-minute workout
- No class times, you're always on time
- Trainer included every time to motivate you
- The workout changes daily, you never get bored
- Expert Nutrition advice included";"https://www.9round.com/assets/8f096d6d/images/common/header-logo.png";"https://www.9round.com/fitness/fountain-valley-ca-x3434/news/post/kids-memberships-now-available";"We are NOW offering kids memberships- ages 8+! You can now workout together as a family here at 9Round Brookhurst! Nothing like leading by example and spending quality time with your children doing something that is SO good for you! Kids memberships are up to half price of regular memberships-- and that is for unlimited workouts!

Please come in, call us at 714-782-0601 or you can email riza@9round.com to get your child's membership set up!
";"N/A";"N/A";"kickboxing and boxing fitness program";"N/A";"Always available in business hour";"Monday  5.30AM–8PM
Tuesday  5.30AM–8PM
Wednesday  5.30AM–8PM
Thursday  5.30AM–8PM
Friday  5.30AM–8PM
Saturday  5.30AM–8PM
Sunday  8AM–12PM";"Shannon Hudson";"N/A";"shaun@9round.com";"http://www.facebook.com/9RoundOfficial";"http://www.youtube.com/9roundtv";"https://youtu.be/FIJRmeWA3Us";"2016 - Entrepreneur Magazine ranked 9Round in the prestigious Franchise 500. #190

2016 - INC - 5000 ranked 9Round Franchising #413

2015 - Entrepreneur Magazine ranked 9Round in the prestigious Franchise 500. #288

2015 - INC - 5000 ranked 9Round Franchising #471

2014 - Entrepreneur Magazine ranked 9Round in the prestigious Franchise 500. #302

2013 - Entrepreneur Magazine ranked 9Round in the prestigious Franchise 500. #443

2012 - Entrepreneur Magazine ranked 9Round in franchising top trends.";"Yes";"Does not have BJJ"
"LionHeart Jiu-Jitsu Academy";"http://trainbjj.com/";" +1 205-572-5921";"2670 Valleydale Rd";"Hoover";"AL";35244;"5/5 Stars";"United States";"Why Choose BJJ?
Brazilian Jiu Jitsu (BJJ) is one of the worlds fastest growing forms of martial arts. This is due to the fact that BJJ is one of the most commonly used forms in many elite level MMA (mixed martial arts) organizations. The reason for this is that the form and technique for BJJ allow you to control your opponent by using their own body and momentum against them. With proper positioning, Jiu Jitsu can allow a smaller person to overcome a larger and stronger opponent.
​
BJJ for Self-Defense
One of the main reasons people choose to learn a martial art is to learn how to defend themselves if the need arises. For the purposes of self defense, BJJ is one of the most practical and efficient forms of martial arts to learn. The reality is, if you need to defend yourself, you won't be able to stand face to face with your attacker, and strike them multiple times with your hands and feet, which are focuses of martial art forms like Karate and Tae Kwon Do. More likely, your attacker will approach you from behind or the side.

​With this in mind, Jiu Jitsu focuses on using your opponent's own body and momentum to neutralize them. This will allow you and your family to have the tools necessary to neutralize a threat as efficiently as possible.
​
 
Picture
LionHeart Academy Martial Arts
Professor George Wehby has devoted his life to helping others become the very best they can be through Martial Arts Training. He has owned, managed and led numerous schools that have successfully helped thousands of people develop lifestyles that have positively impacted their lives. With over 30 years experience, he has discovered the very best way to help people develop and grow to their very best. He has engineered the most effective curriculum-based system to accomplish his mission of changing people's lives in unbelievable ways.

Accomplishments:
-US Marine
-Former Police Officer PG County Police, Maryland
-Former Federal Air Marshal, Dept.. Homeland Security
-State Dept. Contract Firearms Instructor
-TV Show Host, Personal Defense TV
-Black Belt Instructor, Goju Karate
-Black Belt Instructor, Nisei Kito Jiu-Jitsu
-Black Belt Instructor, Brazilian Jiu-Jitsu
-Former Head Instructor, MMA Institute Winchester, VA.
-Former Lead BJJ Instructor, Spartan Fitness Homewood, AL​";"https://www.trainbjj.com/uploads/1/1/1/7/111796015/published/lionlogo.jpg?1505502386";"https://www.trainbjj.com/kids-brazilian-jiu-jitsu.html";"The Little Lions Program is our children's curriculum for martial arts in Birmingham, Alabama. These are some of our favorite classes to teach. We use the discipline and progression of martial arts to provide an environment that is designed to teach children how to achieve their goals.
​
George Wehby II is the chief instructor at Lionheart Academy Martial Arts and has been practicing martial arts for over 30 years. In addition, he has run martial arts academies for over 12 years. Over that time he has taught and learned with many people from toddlers to masters of martial arts.

This experience has led to the Little Lions Program which is focused on providing your child with self-discipline, self-respect, and self-confidence. Learning martial arts along with our anti-bully program will teach your children the importance of respect for others and themselves. The discipline of Brazilian Jiu Jitsu will teach them patience needed to succeed in life.

​The achievements of moving through the ranks of martial arts will boost their self-confidence. And the physical exercise and easy instruction will be just plain fun!
  
Learn more about enrollment for the Little Lions Program by contacting us or calling 205-572-5921.​";"https://www.trainbjj.com/womens-only-jiu-jitsu.html";"Empower yourself or a loved one with the gift of self defense and fitness.  We will teach you how to neutralize the 15 most common attacks ranging from having your hair grabbed to being pinned to the ground by an assailant.
​
Each one-hour lesson is safe, fun and will leave you feeling empowered! You can start the program at any time and participate in any class without previous experience.

​Unlike most self-defense systems that rely heavily on strength, speed, and coordination, the techniques in our beginner Jiu-Jitsu Self Defense and Empowerment Course employ leverage, technique, and timing, so anyone, regardless of age, gender or athletic ability, can defend themselves against a larger opponent or attacker. 

CLASSES ARE ON TUESDAYS AND THURSDAYS FROM 6:00PM - 7:00PM
 
";"N/A";"N/A";"https://www.tutajbjj.com/schedule/";"Monday: 9:00 AM - 5:00 PM
Tuesday: 6:00 AM - 8:00 AM, 4:00 PM - 9:00 PM
Wednesday: 9:00 AM - 5:00 PM
Thursday: 6:00 AM - 8:00 PM, 4:00 PM - 9:00 PM
Friday: 9:00 AM - 5:00 PM
Saturday: 10:30 AM - 10:00 PM
Sunday: 9:00 AM - 5:00 PM";"George Wehby";"Free Trial and $100 off membership";"thelionheartacademy@gmail.com";"https://www.facebook.com/thelionheartacademy/";"N/A";"N/A";"N/A";"No";
"Tiger Rock Martial Arts Academy";"http://www.hoovertrma.com/";" +1 205-823-1999";"3417 Old Columbiana Rd";"Hoover";"AL";35226;;"United States";"Tiger-Rock Martial Arts is a National franchising company providing health, skills and fitness training through its franchisees’ Martial Arts programs for members of all ages. Our programs enrich their personal and professional lives in many ways.  Tiger-Rock programs are a blend of modern sport science, the latest research, and hundreds of years of martial arts tradition to provide you with the most effective experience available. ";"http://hoovertrma.com/Content/Media/SlicedImage/a1feea97-ab07-41a5-a3bc-7ddad0512891-tiger-rock-martial-arts-international-logo.png";"http://hoovertrma.com/kids-martial-arts";"Tiger Rock Martial Arts Kids Martial Arts classes provide a fast-paced, fun filled, self-defense workout that helps them grow in a positive, well-disciplined, yet challenging way. Each Kids Martial Arts class is filled with exciting high-energy, age-appropriate drills that have been carefully designed to build strength, stamina, and endurance as well as develop important life skills. 

""Challenge Today. Exceed Tomorrow. Average Is Not Acceptable.""

Tiger Rock Martial Arts' Black Belt instructors will build a strong foundation of self-discipline, self-esteem, and respect that can be transferred to his or her academics, sports, arts, and social activities outside our school. If you or your child have fears and concerns about pre-school, peer pressure, bullying, or making decisions alone, our program can help. 
Tiger Rock Martial Arts Offer Three Age Groups To Better Give The Best Personal Instruction To Every Student

    Tiger Cubs - Ages 4 to 6
    Junior Progam - Ages 7 to 12
    Youth Program - Ages 13 to 15

Why Wait? Give Your Child A Kick Start With Tiger Rock Martial Arts' Kids Martial Arts Classes!
Kids Martial Arts Benefits

    Greater Overall Health & Fitness
    Improved Hand-Eye Coordination
    Increased Focus & Concentration
    Higher Levels of Respect
    Better Goal Setting Skills
    Learn Effective Bully Prevention & Avoidance";"N/A";"N/A";"Xtreme Performance";"N/A";"http://hoovertrma.com/class schedule";"Monday: 3:30 PM - 8:00 PM
Tuesday: 3:30 PM - 8:30 PM
Wednesday: 3:30 PM - 8:00 PM
Thursday: 3:30 PM - 8:30 PM
Friday: 3:30 PM - 8:00 PM
Saturday: 8:30 AM - 12:00 PM
Sunday: CLOSED";"N/A";"N/A";"hoovertkd01@gmail.com";"http://www.facebook.com/hoovertrma";"http://www.youtube.com/hoovertrma";"https://www.youtube.com/watch?v=i9MgfDHPY1E";"N/A";"No";"Does not have BJJ"
"Samuel Puccio BJJ ";"http://www.samuelpucciobjj.com/";" +1 205-602-2608";"2501 7th Ave S";"Birmingham";"AL";35233;;"United States";"Samuel Puccio is a Black Belt in Brazilian Jiu-Jitsu: Rodrigo Medeiros, BJJ Revolution Team/Carlson Gracie Team

Samuel started training Brazilian Jiu Jitsu in 1997 in Sao Paulo. In 1999 he moved to Los Angeles and trained BJJ and boxing for 1 year with UFC Champion Vitor Belfort and Al Stanke. Samuel trained extensive no - gi freestyle and vale tudo in 2000 and trained with many professional fighters in the Carlson Gracie team as well as instructing at Left Cross Training Center.

In 2001 Samuel began training with Rodrigo Medeiros Competition Team. Samuel continues to train with his instructor and close friend Rodrigo Medeiros. In 2002 Samuel moved to Birmingham Alabama with the hopes of bringing Brazilian Jiu Jitsu to the south east. Today, we have 3 locations and 50 students. The competition team is the best in the area.";"http://www.samuelpucciobjj.com/images/SPBJJlogo.png";"http://www.samuelpucciobjj.com/training/training-children";"At Samuel Puccio BJJ, our children’s programs are second to none. We teach our students (ages 7 and up) using a basic philosophy of positive reinforcement to build Self Esteem, Confidence, Discipline, Positive Attitude, and Values. We realize that although the ability to defend oneself is important, there are many additional benefits to be gained from involving your child in our program. Our unique method of training is fun and designed to:

    Instill A Positive Attitude
    Build Confidence & Self Esteem
    Teach the importance of Strong Values & Good Character
    Promote the desire to Learn
    Improve Effort & Motivation
    Improve Concentration
    Teach Self Discipline
    Instill Respect for Themselves & Others

By embodying these principles in our children’s classes, our team has made a strong commitment to today’s youngsters. Our carefully designed programs for children of all ages will improve your child’s performance in other sports as well as improving study habits and increasing overall concentration. In addition to this, by building self confidence, self respect, and self discipline, we are helping young people to deal with the many problems they face growing up in today’s world, including drugs, peer pressure and gangs.";"http://www.samuelpucciobjj.com/training/training-women-self-defense";"Self-Defense for Women
Taught by a Woman

Martial Arts for WomenCome join us and learn to defend yourself by using principles from Brazilian Jiu-Jitsu, a martial art/combat sport that focuses on grappling and especially ground fighting. We offer classes specifically for women only, taught by a female instructor. Women's self-defense classes are held each Friday evening at 7 PM.
Don't Wait Until it's Too Late! Prepare Yourself! Take the first step.

Why is your system Ideal for Women?
This type of martial art focuses on the principle that a smaller, weaker person using leverage and proper technique can successfully defend themselves against a bigger, stronger assailant.

Our training program takes into account gender specific considerations such as issues of size and physical strength, reasons for and types of self-defense situations commonly faced by women, how to deal with them, as well as ways of decreasing the chances of encountering potentially dangerous situations.

Learn Practical Techniques including:

    Essential Blocking, Breaking grips and holds
    Using common objects as unconventioal weapons
    Identifying vulnerable pressure points
    Enhancing you intuition and awareness

No Athletic Experience Necessary!
For all Fitness levels!

You will learn Close quarter self-defense techniques. These techniques are designed to specifically address the needs of women who may find themselves in real-world threatening situations.

Each Class session is distinct in its curriculum. All Classes focus on the common themes of ground defense, violence prevention and de-escalation of the threatening situation as well as helping with gaining the confidence needed to feel empowered and in control of any threatening situation.

Our Goal is go give women a comprehensive understanding and practical base in both offensive and defensive close-quarter fighting by teaching them how to effectively and efficiently defend against surprise threats as well as how to preemptively engage and eliminate hostile parties and sexual predators.

Our Women's Self-Defense course is taught at our Birmingham Southside location by Angela Carmichael. Angela is a purple belt in Brazilian Jiu-Jitsu, a 2008 champion in the Alabama State BJJ Federation and has experience in Pan-American US National Jiu-Jitsu competitions.";"N/A";"N/A";"http://www.samuelpucciobjj.com/component/content/article/40-frontpage-content/132-schedule";"N/A";"Samuel Puccio BJJ";"N/A";"samuelpucciobjj@gmail.com ";"N/A";"N/A";"N/A";"N/A";"No";"TOURNAMENTS: 
Blue Belt

    1999 Sao Paulo State champion
    2001 California State 3rd place

Purple Belt

    2004 Pan American 4th place

Brown Belt

    2006 Naga Champion (Expert Division) No Gi
    2006 Casca-Grossa Champion (Expert Division) No Gi
    2007 Pan American 4th place

Black Belt

    2007 World Championship Master 4th place
    2008 US National Silver Medal No Gi
    2008 US National Bronze Medal Gi
    2008 Pan American Silver Medal No Gi
    2011 World Bronze Medal No Gi
    2013 Chicago Open International GI
        - Bronze Medal division
        - Bronze Medal Open division
    2013 Las Vegas Open International Bronze Medal GI
    2013 Dallas Open International Silver Medal GI .
"
"Spartan Fitness MMA Birmingham Alabama";"http://www.spartanfitnessmma.com/";" +1 205-824-8361";"430 Green Springs Hwy Ste";"Birmingham";"AL";35209;;"United States";"Welcome to Spartan Fitness in Homewood, where men, women, and children go to get fit fast. We are proud to work with everyone in our community, regardless of your background or abilities. We take the time to work with our clients on an individual basis, helping you scale each and every workout to fit your unique needs. Our instructors bring decades of experience to each class, helping you train with confidence - free of injury and intimidation.";"https://res.cloudinary.com/display97/image/upload/q_auto,fl_lossy,f_auto/93563.png";"http://spartanfitnessmma.com/classes/Kids-Martial-Arts-";"
Introduce Your Child To MMA, BJJ, And More With Our Kids Martial Arts Classes

At Spartan Fitness, we are proud to offer you the most well-rounded Kids Martial Arts program in Homewood. Your kids shouldn't be boxed into one cookie cutter class - and now they're not. 

Our Kids Martial Arts program offers instruction in Mixed Martial Arts, Kickboxing, and Brazilian Jiu-Jitsu, all with scalable exercises that help students of all ages and abilities get the most out of every class.
Find The Kids Martial Arts Classes That Works Best For Your Child

Maybe your child wants to challenge themselves with the blended discipline of Mixed Martial Arts. Maybe they want a high-energy workout during our Kickboxing Classes. Or maybe they are more interested in the ground-based grappling of our BJJ Classes.

OR MAYBE THEY WANT TO TRY THEM ALL!

Either way, we've got what you're looking for.

Our Kids Martial Arts Classes include:

Mixed Martial Arts: Scaled classes for students of all sizes and abilities. We work from the ground up to build fundamentals before putting together combinations movements and strategies.

Kickboxing: Or high-energy classes help children stay active and build strength while enjoying a constantly changing curriculum that challenges them every single day. 

Brazilian Jiu-Jitsu: Teach your child that size and strength don't always matter. Our BJJ classes focus on establishing leverage over an opponent, regardless of their size or strength.
Our Kids Martial Arts Classes Build Lifelong Skills And Character Traits

While all of our Kids Martial Arts Classes are rooted in self-defense disciplines, we never promote violence at Spartan Fitness.

Our students learn each discipline as a way to stay active and build strength, but more importantly, these classes are designed to promote character skills like:

    Respect
    Communication
    Leadership
    Teamwork
    Focus
    Self-Confidence

In each of our classes, we instill vital conflict resolution skills and promote communication as a primary strategy for any conflict.

Give Your Child A Head Start Today With Our Kids Martial Arts Classes

Help your child stay active and excited today with our Kids Martial Arts Classes in Homewood. Our team at Spartan Fitness is proud to work with students of all backgrounds and abilities, helping your child become more confident and prepared for success in any aspect of life.

Learn more today by filling out the short form on your screen. We'll be happy to answer all of your questions and find the right Kids Martial Arts Class for your child!

Request Information
Kids Martial Arts
Kids Martial Arts in Homewood - Spartan Fitness
Brazilian Jiu Jitsu
Brazilian Jiu Jitsu in Homewood - Spartan Fitness
Muay Thai Kickboxing
Muay Thai Kickboxing in Homewood - Spartan Fitness
Mixed Martial Arts
Mixed Martial Arts in Homewood - Spartan Fitness
Fitness Kickboxing
Fitness Kickboxing in Homewood - Spartan Fitness
Strength And Conditioning
Strength And Conditioning in Homewood - Spartan Fitness
";"N/A";"N/A";"Muay Thai Kickboxing, Fitness Kickboxing";"N/A";"N/A";"N/A";"Chris Conolley";"N/A";"info@spartanfitnessmma.com";"https://www.facebook.com/sbgbirmingham/";"https://www.youtube.com/user/SpartanFitnessMMA";"https://www.youtube.com/watch?v=SxZ_Oiihv1k";"N/A";"No";
"Tiger Rock Martial Arts";"http://www.baileystkd.com/";" +1 205-759-4711";"1000 13th St E";"Tuscaloosa";"AL";35404;;"United States";"
Tiger-Rock Martial Arts in Tuscaloosa AL Welcomes You

Welcome to Tiger-Rock Martial Arts, the largest martial arts franchise in the world. As part of a national franchising company, our academies provide the highest quality of programs, training, and service to over 30,000 members. Since 1983, Tiger-Rock Martial Arts has been committed to delivering programs to its participants that truly make a difference in their daily lives.
What Makes Us Different

Tiger-Rock has taken the martial arts experience to a new level. Our programs focus on the components that increase fitness, artistic precision, and self-empowerment. Countless hours of research and staying abreast of the latest sports science are just the beginning. At Tiger-Rock Martial Arts International, we fit your busy schedule and on-the-go lifestyle. With a diverse selection of classes and times, there are no excuses not to start today! Our academies are geared up with the essential elements of a great training workout and our academy owners stay current with the latest training methods. We offer a wide variety of adult and youth programs to ensure that each participant gets the best experience possible.
Our Instructors

You can be assured that participants will receive the highest quality of instruction. Tiger-Rock Martial Art Instructors are required to be certified and earn continuing education credits to keep up-to-date with the latest policies and teaching methods, ensuring safety and enhanced learning. Tiger-Rock Martial Arts International recommends that all Instructors in the academy maintain a current CPR and First Aid certification. Tiger-Rock Martial Arts also recommends academy owners conduct background checks on all annually-qualified Instructors and academy workers 18 years old or older. Academies place a high priority on protecting the safety of members.";"http://baileystkd.com/wp-content/uploads/sites/6/2017/09/TRMALOGO.png";"http://baileystkd.com/kids-martial-arts-juniors-program/";"
Juniors: The next step in kids martial arts training

Elementary and middle school brings new challenges both academically and socially. A constructive after-school activity such as kids martial arts training can help your child with these challenges. This is where Tiger-Rock Martial Arts, your neighborhood martial arts academy serving the Tuscaloosa AL community, comes in.

We have a specially designed curriculum for elementary school students – the Juniors Program. Perfect for 6-, 7-, 8-, 9-, and 10-year olds, this program represents the next step in kids martial arts training. Students in this program set goals, learn self-defense, and anti-bullying tactics in a fun and action-packed environment.
Key Areas of Training

Striking and kicking Lessons for this age group includes various drills, including striking and kicking. Students will learn various kicking techniques and defensive striking moves. Your child will learn how to defend his or herself from aggressive threats. However, these lessons also have additional benefits, such as developing your child’s athletic ability, improving motor skills, and boosting your child’s physical fitness.

Takedowns and self-defense Self-defense is one thing; knowing what to do when a threat is oncoming is another. Our kids martial arts training system helps students react properly for effective self-defense. As your child improves his or her coordination and motor skills, your child will feel more confident.

Anti-Bullying Education Unfortunately, elementary school may expose children to their first experience with bullying. However, our kids martial arts training system at Tiger-Rock incorporates anti-bullying education. We teach our students how to react and defend themselves against bullies.

Good Citizenship Students are encouraged to be good citizens off the mat. This includes respect for authority and academic accountability. We also have an Honors Program that will be available as your child advances in rank. This program will allow students of proper rank to participate in activities that promote leadership.

Full participation As we say at our academy, “Nobody sits on the bench!” Our classes are designed to be fun and engaging where everybody participates. At Tiger-Rock Martial Arts, your neighborhood kids martial arts training academy, we have developed an inclusive environment. This environment allows for students to have a positive social experience and participate in various martial arts activities without feeling left out.

Advancement & Competition Students are encouraged to take advantage of multiple opportunities per year to advance in belt ranking. These belt tests give students the opportunity to apply what they have learned on the mat. Also, as a member of Tiger-Rock Martial Arts, your child will be invited to participate in yearly tournaments in the fall, spring, and summer. Much of our training is geared towards preparing students for belt testing and competitive events.";"N/A";"N/A";"Adult Martial Arts, Taekwondo Training";"N/A";"N/A";"N/A";"Grandmaster James Bailey";"Students enjoy the many benefits including:

    There are specialized classes, specific to each groups unique classroom needs: Tiger Cubs (pre-school age 4 yrs), Juniors (6 yr olds – 12 yr olds), and Teens & Adults.
    Students can start any time and blend into the academy with other beginners.
    New classes are forming daily.
    Annually qualified instructors are dedicated to excellence and continuing education.
    Students can move forward at their own rate and not as a class unit.
    Year-round advancement opportunities
    Year-round competitive opportunities and the local, state, and national level.
";"tigerrocknorthport@gmail.com";"https://web.facebook.com/Baileys-Tiger-Rock-Tuscaloosa-East-131257820262511/";"https://www.youtube.com/user/BaileysTRMA/videos";"N/A";"N/A";"Yes";"Early child development training program available, Link: http://baileystkd.com/tiger-cubs-child-development/"
"Cobra Tuscaloosa";"http://www.cobrabjjtuscaloosa.com/";" +1 205-752-8922";"1110 15th St";"Tuscaloosa";"AL";35401;;"United States";"It promotes the principle that a smaller, weaker person can successfully defend themselves against a bigger, stronger assailant using leverage and proper technique; most notably, by applying joint-locks and chokeholds to defeat them.
Brazilian Jiu-Jitsu is a martial art and combat sport that focuses on grappling but especially ground fighting. It was derived from the Japanese martial art of Kodokan Judo in the early 20th century, which was itself then a recently-developed system (founded in 1882), based on multiple schools (or Ryu) of Japanese jujutsu.
BJJ can be trained for self defense, sport grappling tournaments (gi and no-gi) and mixed martial arts (MMA) competition. Sparring (commonly referred to as ‘rolling’) and live drilling play a major role in training, and a premium is placed on performance, especially in competition.
Cobra Tuscaloosa
As an affiliate of Cobra BJJ/Checkmat, I am ready to pass on Cobra BJJ to you!   You can learn a form of martial arts that will truly teach to protect yourself against a larger, stronger more aggressive opponent.  Cobra BJJ is a family friendly environment and can accommodate individuals that are simply interested in getting in shape while learning the most effective form of self defense, or ready to compete in the highest levels of BJJ and MMA (Mixed Martial Arts).   
Classes are now available for all ages!
Cobra Tuscaloosa offers a variety of adult, women, self defense, kids and beginner classes. No matter what your age or experience level is, Cobra has a place for you! 
Will I get hit or be forced to fight?
NO! Brazilian Jiu-Jitsu is a ground based martial art with no striking involved. Your safety is our primary concern and the intensity of your experience here COMPLETELY depends on your personal preference. So whether you're looking to get in the cage, compete in Jiu-Jitsu tournaments or simply learn to protect yourself and your family its all up to you. ";"http://static1.squarespace.com/static/519e369ae4b037aba8bad0fe/t/5212dca9e4b030489dbf43ae/1517960137016/?format=1500w";"http://www.cobrabjjtuscaloosa.com/cobra-kids/";"Welcome to Cobra Brazilian Jiu Jitsu of Tuscaloosa COBRA KIDS!  We are a great location for training Brazilian Jiu Jitsu and submission grappling. Our Cobra Kids program is committed to giving your child the tools they need to defend and protect themselves. 
Brazilian Jiu Jitsu or the ‘Gentle Art’ enables a smaller, weaker person to defend against a bigger, stronger assailant through technique and leverage. This effective, hands-on training develops coordination and physical strength while increasing your child’s confidence and self esteem.
We offer training 3 days a week in a safe and fun environment with highly skilled coaches.

Monday and Wednesday classes begin with warm-ups, then move to technique instruction and drilling, and classes end with live rolling.

Saturday mornings are stand-up, kickboxing style classes.";"N/A";"N/A";"N/A";"N/A";"http://www.cobrabjjtuscaloosa.com/prices-schedule/";"Monday: 10:30 AM - 9:00 PM
Tuesday: 10:30 AM - 9:00 PM
Wednesday: 10:30 AM - 9:00 PM
Thursday: 10:30 AM - 9:00 PM
Friday: 10:30 AM - 9:00 PM
Saturday: 10:00 AM - 2:00 PM
Sunday: CLOSED";"Kurtis Taylor ";"First time FREE classes and Monthly Individual Membership Cost- $89";"Kurtis@cobrabjjtuscaloosa.com";"https://web.facebook.com/CobraBJJTuscaloosa/";"N/A";"https://youtu.be/l8rSAAkhcPA";"N/A";"No";
"The Montgomery Academy";"http://www.montgomeryacademy.org/";" +1 334-272-8210";"3240 Vaughn Rd";"Montgomery";"AL";36106;"5/5 Stars";"United States";"

The Montgomery Academy (MA) is a K–12, co-ed, nonsectarian day school serving the River Region community since 1959.

Our mission is to develop leaders committed to honor, scholarship, service and the pursuit of excellence.

This mission is lived, every day, as the motivating goal of everyone on campus. Talk to students, faculty, administrators and parents, and you will learn that it is undertaken with both pride and seriousness.

Living our mission creates what we call the “MA Difference” in the:

    Well-rounded educational program in which teachers and students collaborate and form meaningful relationships
    Environment where students are simultaneously supported and challenged
    Strong belief in the strength of community and service to others
    Active parent engagement in the learning process and in volunteer opportunities
    100% of our graduates going on to college, admitted to some of the most prestigious colleges and universities in the nation
    Reports from alumni stating that MA prepared them for success in college and life
    Student-led honor council for grades 9-12
    Nurturing of students’ leadership skills through experiences such as community service, clubs, and sports

";"https://www.montgomeryacademy.org/uploaded/themes/default/images/logo.svg";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"Monday: 8:00 AM - 4:30 PM
Tuesday: 8:00 AM - 4:30 PM
Wednesday: 8:00 AM - 4:30 PM
Thursday: 8:00 AM - 4:30 PM
Friday: 8:00 AM - 4:30 PM
Saturday: CLOSED
Sunday: CLOSED";"John Tatum";"N/A";"tommy_traylor@montgomeryacademy.org";"https://www.facebook.com/pages/The-Montgomery-Academy/103865566331926";"https://www.youtube.com/user/themontgomeryacademy";"https://youtu.be/FAocHhLwhOE";"N/A";"Yes";"Does not have BJJ/ Gym available only Vaughn Road Campus"
"Alaska Judo";"http://www.alaskajudo.org/";" +1 877-254-5836";"3349 W. 100th Ave.";"Anchorage";"AK ";99515;;"United States";"Alaska’s governing body for the Olympic sport of Judo

Alaska Judo is shaping Alaska by providing physical fitness opportunities, clinics and tournaments for children, adults and families throughout the year.

You can join one of Alaska Judo’s registered martial arts schools to get in better shape, make new friends, learn self-defense, to join in completions, and to have fun.";"https://i2.wp.com/www.alaskajudo.org/wp-content/uploads/sites/2/2016/02/cropped-cropped-Alaska-Judo.png?w=290&ssl=1";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"Mark Langberg";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"Yes";
"Anchorage Brazilian Jiu-Jitsu";"http://www.anchoragebjj.com/";" +1 907-748-9080";"113 W Northern Lights Blvd";"Anchorage";"AK";99503;;"United States";"#1 ranked BJJ team in Alaska.  Located in Anchorage Alaska, Anchorage Brazilian Jiu-Jitsu offers top quality training and fitness services for the BJJ and MMA enthusiasts. We consist of a highly skilled team of Brazilian Jiu-Jitsu and Mixed Martial Arts instructors who work closely with you to make sure you reach your peak level of skill, mental toughness as well as conditioning and training.

Mixed martial arts is quickly becoming one of the most popular sports in the world, and Anchorage BJJ is on the forefront of that motivation. Whether you’re looking to sharpen your Brazilian Jiu-Jitsu skills, maintain your fitness level or gain the advantages of both by training MMA, Anchorage Brazilian Jiu-Jitsu can offer the best of all worlds.

Although BJJ (Brazilian Jiu-Jitsu) may be the most popular method of combat currently, Anchorage Brazilian Jiu-Jitsu knows the world of mixed martial arts and mixed martial arts competition are no longer one dimensional; that’s why we will help you integrate all the skills needed, so you can focus not only on what you’re good at, BJJ for example, but also help you improve and gain confidence in areas you may need work in.

Anchorage Brazilian-Jitsu listens to its students and helps build on that relationship of communication and trust. You can choose any number of MMA, BJJ or grappling schools, but Anchorage BJJ keeps with tradition as well as modern styles to help you go past what you ever thought you could.

Whether you come to Anchorage BJJ as a new student looking to see what all the talk about this thing called MMA is or are looking to compete professionally, Anchorage Brazilian Jiu-Jitsu will help you reach your goal while maintaining a close relationship with you as well as our current MMA, BJJ or grappling students.";"http://anchoragebjj.com/wp-content/uploads/2016/05/newlogo.png";"http://anchoragebjj.com/programs/kids";"Kids Brazilian Jiu-Jitsu Program

A complete self-defense system that will give children a high degree of self confidence. Our children’s classes cover many aspects of training applicable to youth. We concentrate primarily on having fun and informative classes where children from 5- to 14-years-old learn balance, coordination, and proper time and place for martial arts training. The kids program integrates sport and self-defense techniques with conditioning and skill-oriented games aimed at improving your child’s motor skills, agility and flexibility.


Kids Boxing Program

Proper coaching and training is essential to teach children to use boxing training only for sport.  Boxing helps in body development, discipline and good sportsmanship.  It also encourages the child to follow a healthier lifestyle by avoiding drugs, alcohol and tobacco.  One of our main goals is for kids to have fun.  Some boxing routines are converted to games which challenge the kids to see their endurance level and punch speed drills.  Kids Boxing Classes are twice a week (Friday and Saturday).  ";"N/A";"N/A";"Mixed Martial Arts, MMA Program";"N/A";"http://anchoragebjj.com/locations/schedule";"Monday: 9:00 AM - 9:00 PM
Tuesday: 9:00 AM - 9:00 PM
Wednesday: 9:00 AM - 9:00 PM
Thursday: 9:00 AM - 9:00 PM
Friday: 5:00 PM - 8:00 PM
Saturday: 10:00 AM - 2:00 PM
Sunday: 8:00 AM - 10:00 AM";"Ryder Spadafore";"Save $10/month per family member(http://anchoragebjj.com/locations/pricing)";"management@anchoragebjj.com";"https://www.facebook.com/anchoragebjj/";"N/A";"N/A";"N/A";"Yes";
