"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"instagram_url";"awards";"multiple_locations";"id";"FederationAbbr";"team";"CountryAbbr";"source ID";
"Central Alberta BJJ";"https://www.centralalbertabjj.com/";(587) 377-6113;"5372 Len Thompson Dr, Bay 5-6";"Lacombe";"AB";"T4L 2H3";;"Canada";;"https://static.wixstatic.com/media/d87343_2d9797b1fb95455b8fd93c06852961b1~mv2.png/v1/fill/w_36,h_36,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/cabjjwhitelogo.png";"https://www.centralalbertabjj.com/kids-bjj";"Join our engaging kid training program, welcoming children aged 4-15! Experience a safe and fun environment where they'll learn realistic and applicable martial arts. Our program is designed to make learning enjoyable and interactive for all kids.";;;"Kickboxing";;"https://www.centralalbertabjj.com/schedule";;"Drew Weatherhead";;"centralalbertabjj@gmail.com";"https://www.facebook.com/CentralAlbertaBJJ";;;"https://www.instagram.com/central_alberta_bjj/";;0;3899;;;"CA";;
"Affinity Academy Brazilian Jiu Jitsu";"https://affinityacademy.ca/";(587) 316-2473;"5403 Crowchild Trail NW #129";"Calgary";"AB";"T3B 4Z1";;"Canada";"Affinity Academy is dedicated to providing an interactive space where one can learn the Arts of Brazilian Jiu Jitsu (BJJ) and Kickboxing. Affinity Academy’s staff is not interested in mindlessly teaching a skill, but are dedicated to fostering lasting relationships between instructors, staff, students and their families. Our mission is to inspire and empower you to unveil your true potential by instilling and incorporating the principles of Martial Arts into all aspects of life by perfecting character, promoting peace and harmony, preserving the path of truth, extending courtesy, and respecting all.";"https://marketmusclescdn.nyc3.digitaloceanspaces.com/wp-content/uploads/sites/749/2022/05/11202124/logo.png";"https://affinityacademy.ca/program/tiny-ninjas-ages-4-6/";"Studying martial arts is ideal for young children. It provides them with an outlet for their energy. But, it also teaches them about respect, discipline, and other core values that will go with them beyond the dojo. Junior martial arts classes teach kids to control their movements and behavior, and they’ll learn social skills and interaction at the same time.";"https://affinityacademy.ca/program/womens-only/";"Women’s Only BJJ is a unique form of martial arts that teaches students to leverage their body weight to use in the ring or against an attacker. A descendant of Judo, Women’s Only BJJ is both a sport and a martial art - and it’s fun to learn.";"Kickboxing";;;"Mon, Wed, Fri: 10:00am-10:00pm; Tues, Thurs: 06:00am-10:00pm; Sat: 10:00am-3:00pm; Sun: 10:00am-12:00pm";"Andell Alexander";;"info@affinityacademy.ca";"https://www.facebook.com/affinityacademycalgary/";"https://www.youtube.com/@affinityacademy8866";"https://youtu.be/p2wgQ_Gulx0";"https://www.instagram.com/affinityacademy/";;1;3911;;;"CA";;
"Anderson Goncalves Brazilian Jiu Jitsu - Calgary";"https://www.agbjj.com/";(403) 903-0002;"2650-36 Street SE #11";"Calgary";"AB";"T2B 0Y3";;"Canada";"Coach Anderson Goncalves is the founder and lead Black Belt of AG BJJ / Tilt MMA. He is a 6th Degree Brazilian Jiu Jitsu Black Belt - the highest ranked Brazilian Jiu Jitsu Black Belt in Alberta and among the highest ranked in Canada. Born in Petrópolis, Rio de Janiero, Brazil, a small town in the southeast region of Brazil, his love for jiu jitsu started at the age of 14 when he met mentor and teacher, Aloisio Silva. After receiving his blue belt when he was 15 years old, he moved to Copacabana, Rio de Janeiro with Aloisio Silva to join Aloisio's ""Team Dojo"". As a young determined athlete, he spent countless hours at the gym with Aloisio and trained 2-3 times every day. With intense perseverance and training, he obtained his black belt from Aloisio Silva at the age of 20. Anderson's lineage can be traced down to the Gracie line, in that, Aloisio Silva received his black belt under Master Carlos Robson Gracie, son of Carlos Gracie. In 1999, Anderson moved to Orange County, California with Aloisio and had the great honor of finding a master of life who became a dear friend and mentor, Master Joe Moreira. Master Joe Moreira is an 8th degree Coral Red and White belt in Brazilian Jiu Jitsu, 3rd degree Black Belt in Judo, a former UFC veteran, and the current President of the United States Federation of Brazilian Jiu Jitsu. Under the tutelage of Master Joe Moreira, Anderson became part of Team Punishment, training world-renowned former UFC champions such as Quinton ""Rampage"" Jackson and Tito Ortiz. Master Moreira's rank is an admirable one, as it is received by one of only 6 Brazilian Jiu Jitsu Red Belts in the world, Master Francisco Mansor. Master Mansor was awarded his Red Belt (9th degree) by the Father of Jiu Jitsu himself, the late Grand Master Helio Gracie. Anderson then moved to Calgary, Alberta, and opened the doors to AG Brazilian Jiu Jitsu in 2005. The rest is history! He continues to train the highest-level champions on both the local and international BJJ championship scenes, as well at the most reputable and sought-out MMA shows. Anderson continues to bring Master Moreira to Calgary on a regular basis and receives his mentorship to this day - a friendship that has now blossomed to that of family, much like our gym atmosphere.";"https://static.wixstatic.com/media/5e1000_30da016e22404318b8f6cb8a7e78d5a1~mv2.jpg/v1/fill/w_100,h_102,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/21314858_1566661656729745_67278752571143.jpg";"https://www.agbjj.com/brazilian-jiu-jitsu";"This class focuses on the fundamentals of Brazilian Jiu Jitsu and self defense. For children ages 5-8. Class is taught by 6th Degree BJJ Black Belt, Professor Anderson Goncalves.";;;;;"https://www.agbjj.com/schedule";"Mon, Wed, Fri: 4:00pm-8:00pm; Tues, Thurs: 11:30am-1:00pm";"Anderson Goncalves";;"info.agbjj@gmail.com";"https://www.facebook.com/AndersonGoncalvesBJJ/";;;"https://www.instagram.com/agbjj_tiltmma/";;1;3908;;;"CA";6014;
"Brazilian Jiu Jitsu Fight Club";"https://www.bjjfightclub.ca/";(587) 216-7780;"5421 11 St NE #102";"Calgary";"AB";"T2E 6M4";;"Canada";"How many times have you heard of, or experienced, large corporate gyms or dojos that were difficult to deal with as soon as an issue came up? You might not even know who the owner is, and the person at reception desk or on the phone has little stake in the academy. At BJJ Fight Club, that's not how we roll. We are the first BJJ dojo in Canada, started in January 1996 by Brazilian-born Alex Roque and now managed by his daughter, Gabriella La Rae Roque. We have much more to share about our history, but Alex, alongside his daughter, sons and students, cares deeply about the values, traditions and high standards that have been set in BJJ that make it one of the most sought-after martial skills in the world. BJJ Fight Club has always, and will always, make sure our students get well-rounded training.";"https://b405afa98ba263f4a3b4.cdn6.editmysite.com/uploads/b/1c14c080-b492-11ec-93bc-37b7b0efa36b/076c16332806acfed50c2415000b6064.png?width=2400&optimize=medium";;"Bring your little ones! They will have a blast learning hands- and legs-on self-defence, playing games and getting lots of exercise in a safe and inviting environment! Not only does BJJ tire out your kids - so you can actually get them to bed! -, it gives them confidence, teaches them respect and discipline, and requires them to cope with uncomfortable situations and persevere despite adversity. All of this with the balanced touch of great ""Senseis"" that adapt to and support all the wonderful, diverse personalities your little ones have. ";"https://www.bjjfightclub.ca/wsd";"Here is a summary for you of the BJJ for Women's Self-Defence Course. Know what to expect before you try out! Train with other women only. Complete the course in the span of 1 year. Stay focused on scenarios that are likely to happen to ladies. Work your way up through 5 levels of curriculum, during which you will earn stripes on your belt. Upon completion of the course, you will earn your pink belt, a BJJ Fight Club special! Your belt also gives back - while you're fighting in the dojo, your belt's proceeds fight against breast cancer!";"Judo, Striking Arts";;"https://www.bjjfightclub.ca/schedule";"Mon-Thurs: 5:30pm-9:00pm, Fri: 5:30pm-8:30pm, Sat: 12:30pm-4:30pm";"Alex Roque";;"Info@BJJFightClub.ca";"https://www.facebook.com/groups/6628762937/";;;"https://www.instagram.com/brazilianjiujitsufightclub/";;0;3907;;;"CA";5669;
"JR Academy";"https://jracademy.co/";(403) 899-2880;"6031 3 Street Southeast";"Calgary";"AB";"T2H 1K3";;"Canada";"We are a Brazilian Jiu Jitsu Academy in Calgary, Alberta, Canada led by Professor Josh Russell, Black Belt under Master Carlos ""Carlinhos"" Gracie Jr.";"https://images.squarespace-cdn.com/content/v1/560b2db5e4b016db196e7289/1492468206760-6J7DADPZSKX6DK8B5R30/JR-Star+Transparent+background.png?format=1500w";"https://jracademy.co/kids-bjj-classes";"Jiu Jitsu provides skills to develop children’s strength and flexibility, boosts self-confidence, and improves focus and discipline. Our kids program provides a positive social environment where children engage with kids of different ages and experience through martial arts concepts and techniques taught by our experienced Professors and Coaches. Combined, our main instructors have over 60 years of experience on the mats. The skills gained from Jiu Jitsu will help kids apply themselves to challenges throughout their lives.";"https://jracademy.co/adult-bjj-classes";"The women’s only class is a great way for females to get introduced to the sport of Brazilian Jiu Jitsu or continue their BJJ development in a safe and comfortable environment with the support of other women. The class is led by a female black belt and teaches Jiu Jitsu strategies and techniques adjusted to meet women’s specific needs and goals. Women will build strength and confidence and learn the fundamentals to embrace their potential to continue their training in other classes. ";"Submission Grappling (NoGi)";;"https://jracademy.co/schedule";;"Josh Russell";"Free Week Trial";"info@jracademy.co";"https://www.facebook.com/JRAcademyYYC/";;;"https://www.instagram.com/jra_bjj_yyc/";;0;3913;;;"CA";;
"Rocky Mountain BJJ";"https://rockymountainbjj.com/";(403) 701-1166;"6419 Bowness Road NW, Second Level";"Calgary";"AB";"T3B 0E6";;"Canada";"Rocky Mountain Brazilian Jiu Jitsu is a Josh Russell affiliate school, led by Professor Christian Simmerling, offering Jiu Jitsu to all age groups, women, men and children.";"https://images.squarespace-cdn.com/content/v1/5d9d56a932d593023da9243d/1574734714183-VBEC5EB2O82P8O0DGM7V/Final-01+copy.png?format=1500w";"https://rockymountainbjj.com/new-page";"Junior Class Ages 5-9 - We introduce BJJ to students in a manner that is fun and engaging. A strong emphasis is placed in the development of motor skills and body movements. Class begins with a 15 minute dynamic warm up where the students practice basic BJJ movements such as shoulder rolls, hip escapes and breakfalls followed by a series of stretches. Students begin to learn basic, fundamental movements and techniques. The typical class involves 2-3 techniques followed by positional sparring where the students begin in specified positions/situations.  The class ends with one or two rounds of rolling. Youth Class Ages 9-14 - After a rigorous warm up, students learn fundamental movements and techniques. A stronger emphasis is placed on the details. The typical class involves 2-3 techniques followed by positional sparring where the students begin in specified positions/situations. The class ends with one or two rounds of rolling. Intensity in these classes is significantly higher and the goal is to condition the students' mind and body in preparation for the stresses and demands that are associated with daily life.";;;;;"https://rockymountainbjj.com/schedule";;"Christian Simmerling";;"chris@rockymountainbjj.com";"https://www.facebook.com/rockymountainbjj/";"https://www.youtube.com/@chrissimmer8766";"https://youtu.be/_OfXGgObvKE";"https://www.instagram.com/rockymountainbjj2/";;0;3912;;;"CA";;
"MVM Academy (GFTeam Camrose)";"https://www.mvmacademy.ca/";(780) 608-5624;"5013 50 St";"Camrose";"AB";"T4V 1R3";;"Canada";"MVM ACADEMY is home to GFTeam Camrose Brazilian Jiu-Jitsu. We offer a variety of training programs that go all year long. If you are interested in learning Martial Arts or Strength Training you will love it here!";"https://static.wixstatic.com/media/20ea12_16fd880851fe4bc2a19906fbb53ed142~mv2.gif";;;;;"Muay Thai/Kickboxing, Wrestling, Strength and Conditioning";;;;"Ryan Sandberg";;"gfteamcamrose@gmail.com";"https://www.facebook.com/MVMFITMA/";;;"https://www.instagram.com/mvmacademy/";;0;3910;;;"CA";;
"Dark Horse Martial Arts";"https://darkhorsemartialarts.ca/";(403) 679-9554;"208 Bow Meadows Crescent";"Canmore";"AB";"T1W 1L1";;"Canada";"Dark Horse Martial Arts specializes in Brazilian Jiu Jitsu in addition to offering Women's Only Self Defense and Adults Beginner friendly Striking. We are also proud to offer an extensive kids Jiu Jitsu programs all year round for ages 6 -16 yrs old. Dark Horse Martial Arts is dedicated to helping people from all walks of life become the best that they can be. Respect, humility, integrity, and kindness are some of the key virtues we teach and practice, on and off the mats. Learning to apply these virtues in everyday life helps extend our teaching beyond the gym. Our club is active in the community as we are always trying to better the place we call home. Whether it's through hosting an Open Mat every week and giving the donations to our local SPCA, supporting other small businesses or teaching Women's Self Defense, we try our best to give back to a community that has shown us so much support throughout the years.";"https://img1.wsimg.com/isteam/ip/f22c89d8-6719-4601-8ed8-785803f404a4/ya.jpg/:/rs=w:267,h:103,cg:true,m/cr=w:267,h:103/qt=q:95";"https://darkhorsemartialarts.ca/kids-classes";"At Dark Horse Martial Arts we believe that every child has great potential inside of them. As instructors, we strive to help our kids gain confidence so that they are able to show their full potential and grow into self sufficient, confident, and kind adults. Jiu Jitsu is described as 'human chess'. Here at DHMA our students learn a lot more than just physical skills and self defence. Some of the mental attributes include: Self-confidence; Active Problem Solving; Discipline;  Patience; Respect; Leadership Skills. Additionally, students will learn advanced body awareness including: Coordination; Flexibility; Durability; Dexterity; Cardio. Here at DHMA we believe in creating a positive learning atmosphere. This applies to all classes but especially the kids classes. Giving the children a positive area in which to learn and express themselves is our highest priority.";"https://darkhorsemartialarts.ca/womens-only-self-defence";"These classes emphasize the importance of using technique and precision to be able to overcome larger and more powerful opponents. Brazilian Jiu Jitsu was crafted with the idea that a smaller person would be able to beat a larger person. With this in mind the classes are structured so that you will be comfortable defending yourself from any position.";"Striking";"Kids: Monthly $150 + gst; Adult: Adult's Complete Jiu Jitsu & Striking Monthly $180 + gst, Adult's Jiu Jitsu Monthly $150 + gst, Adult's Striking Monthly $90 + gst, Jiu Jitsu 6 Months $850 + gst, Jiu Jitsu Full Year $1500 + gst, Class Drop In $20 + gst, Full Day Drop In $30 + gst  ";"https://darkhorsemartialarts.ca/schedule";;"Travis Erlam";;;"https://www.facebook.com/DarkHorseMartialArts/";"https://www.youtube.com/@darkhorsemartialarts";"https://youtu.be/9Oixwkl6QKs";"https://www.instagram.com/darkhorsemartialarts/";;0;3904;;;"CA";;
"Authentic Jiu Jitsu";"https://authenticjiujitsu.com/";(403) 473-1600;"3616 52 Avenue Northwest";"Calgary";"AB";"T2L 1V9";;"Canada";"Authentic Jiu Jitsu is led by Professor Ben, a second degree black belt in Brazilian Jiu Jitsu under fifth degree black belt Josh Russell. Benjamin’s passion for the grappling arts led him to Gracie Barra Calgary (currently JR Academy) in 2007 to learn the “gentle art”. While studying Brazilian Jiu Jitsu, Ben also graduated from the University of Calgary with a degree in education (master of teaching program) and has worked in Alberta as a public school teacher. Ben is adept at blending his professional knowledge of teaching with his extensive experience in Jiu Jitsu to create an environment that is enjoyable, challenging, and designed to optimize the potential of all students. Professor Ben has spent the past 16 years studying, training, coaching, and competing in Brazilian Jiu Jitsu at the local, regional, and international level, however, he is most happy witnessing his own students progress in the art and experience their own success on and off the mats. Jiu Jitsu Lineage: Mitsuyo Maeda > Carlos Gracie > Carlos Gracie Jr. > Josh Russell > Benjamin Kool.";"https://images.squarespace-cdn.com/content/v1/59342829e58c627dbfac0470/b3ce9725-f1f2-45ff-865c-e4ecf6e7fcc2/AJJ-Logo-SM-Icon-Wht.jpg?format=1500w";;;;;;;"https://authenticjiujitsu.com/#schedule-section";;"Benjamin Whalley";"Free Trial Class";"authenticjiujitsu@gmail.com";"https://www.facebook.com/authenticjiujitsu/";"https://www.youtube.com/@authenticjiujitsu";"https://youtu.be/o3GfrxvbCsQ";"https://www.instagram.com/authenticjiujitsu/";;0;3901;;;"CA";;
"Dallas O'Regan Brazilian Jiu Jitsu";"https://dobjj.ca/";(403) 369-8864;"213-118 1st Avenue West";"Cochrane";"AB";"T4C 2K8";;"Canada";"We offer over 30 years of experience in the art of Brazilian Jiu Jitsu. Instruction for both kids and adult classes are available with a disciplined focus on Integrity, Respect, Honor, Courage, Compassion, Honesty and Loyalty. We value a family orientated atmosphere, allowing for a fun and safe place to train and gain personal development.";"https://img1.wsimg.com/isteam/ip/91a1ba7a-2eb9-4ec6-8087-e4a95ccf8b3c/BJJ.jpg/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=h:650,cg:true";"https://dobjj.ca/registration%2Fschedule";"The Kids/Youth/Teens BJJ classes are split into Beginners and Advanced for Ages 5-15 and are divided into three age categories; ages 5-6, 7-8 & 9-15. These classes are focused on the fundamentals of jiu jitsu for beginners and our advanced classes focus on advanced moves for preparation in competition and sport BJJ. The main goal is for the kids to develop good technique and develop discipline as well as self-confidence. We also have No Gi classes for ages 7-15 and No Gi Submission Wrestling for ages 6-15.";"https://dobjj.ca/registration%2Fschedule";"The women's (ages 16 & up) only program is focused on self defense, basic fundamentals of Brazilian Jiu Jitsu and designed to develop self confidence, fitness and community. ";;"ADULTS (AGES 16 +): $119.99/month + GST – Unlimited classes, $89.99/month + GST - One class per week, $25 + GST - Drop-in class, $220 + GST - Punch pass - 10 classes - expires 12 months from purchase - not to be combined with other students/family members - no refunds - discounts do not apply to punch passes (Effective March 1, 2023). WOMEN'S BJJ (AGES 16+): $89.99/month + GST - Wednesdays 6:00pm-7:30pm. KIDS/YOUTH/TEENS (AGES 5-15 YEARS): $119.99/month + GST - Unlimited classes, $99.99/month + GST – Up to 3 classes per week, $69.99/month + GST - One class per week, $20 + GST - Drop-in class (Effective March 1, 2023). $180 + GST - Punch pass - 10 classes - expires 12 months from purchase - not to be combined with other students/family members - no refunds - discounts do not apply to punch passes (Effective March 1, 2023). Families of three or more with regular monthly memberships will receive 10% off each membership. We are happy to offer first responders and military a 15% discount on monthly memberships. This offer is eligible for: Current and former Canadian/U.S. military, First responders (including law enforcement, fire, and EMS), Current and New Students";"https://dobjj.ca/registration%2Fschedule";"Mon: 7:00pm-8:30pm; Tues, Thurs: 4:00pm-9:00pm; Wed, Fri: 5:00pm-9:00pm;  Sat: 10:00am-3:30pm; Sun 7:30pm-9:00pm";"Dallas O'Regan";"Free Trial Class";"info@dobjj.ca";"https://www.facebook.com/dobjjcochrane/";"https://www.youtube.com/@dobjj-dallasoreganbrazilia8656";"https://youtu.be/SBY5OooOv4U";"https://www.instagram.com/Dobjj.ca/";;0;3895;;;"CA";;
