"name";"website";"phone";"address";"city";"state";"zip";"stars";"country";"details";"logo_url";"kids_program_url";"kids_program_detail";"woman_only_program_url";"woman_only_program_detail";"other_programs";"pricing";"schedule_url";"business_hour";"head_professor";"special_offer";"email";"facebook_url";"youtube_channel";"video_url";"awards";"multiple_locations";"id";"FederationAbbr";"team";"CountryAbbr";"source ID"
"BJJ Sarande";;" + 355 69 949 9221";"Rruga Telat Noga 10";"Sarande";;;;"Albania";"A black belt is not something you wear, its something you become. First Albanian BJJ Black Belt Dorian Lapaj. Certified from Gracie Barra & IBJJF. Trained with World Champions.";;;;;;"MMA";;;"3-15 years: Sat, Sun: 11:00am-12:00pm; Adult 16+: Tues, Thurs: 18:30pm-20:00pm, Sat: 18:30pm-20:00pm MMA";"Dorian Lapaj";;;"https://www.facebook.com/Brazilian.Jiu.Jitsu.Albania.1.Academy/";"https://www.youtube.com/channel/UC6es2fNuu0itmcYeTxGrbkg/featured";"https://youtu.be/hJ8zPAukwlg";;0;;"IBJJF";;"AL";6577
"Angolan Fight Team";;;"Via S7A, Colinas do Sol";"Talatona";;;;"Angola";;;;;;;;;;;"Marcelo Monclar Monteiro";;;;;;;0;;"IBJJF";;"AO";7430
"Carceglia Team International";;;"Boulevard Los Alemanes 5225";"Cordoba";;;;"Argentina";"Academia de brazilian jiu jitsu y defensa personal. Cursos regulares de defensa personal femenina. Clases de Jiu jitsu para niños, jóvenes y adultos";;;;;;;;;;"Cesar Adrian Carceglia";;;"https://www.facebook.com/carcegliabrazilianjiujitsu/";"https://www.youtube.com/channel/UCwSIVjkQjDnvb35-MY9uh_Q";"https://youtu.be/_-zhMc-GTeQ";;0;;"IBJJF";;"AR";6312
"Equipe Pantera Negra Argentina";;;"1926 Necochea (117), PH San Martin";"Buenos Aires";;;;"Argentina";;;;;;;;;;;"Iran Brasileiro de Alvarenga";;;;;;;0;;"IBJJF";;"AR";6608
"Marcelo Mello";;;"Madero 218 Liniers";"Buenos Aires";;;;"Argentina";;;;;;;;;;;"Marcelo Mello";;;;;;;0;;"IBJJF";;"AR";7444
"Headquarters CobraTeam Argentina";"https://www.cobrateamonline.com.ar/";" + 54 221 654 7212";"Av. 44 N 1260";"La Plata";;;;"Argentina";;;;;;;;;;;"German Damian Leder";;"cobrateammatriz@gmail.com";"https://www.facebook.com/cobrateamHQ/";"https://www.youtube.com/channel/UCD6RLjZTSp4ixPB_4a9--JA";"https://youtu.be/nHMYi0MjXNI";;0;;"IBJJF";;"AR";7671
"CAJJ";"https://www.cajj.com.ar/";;"Republica de Siria 3956";"Sante Fe";;;;"Argentina";;"https://www.cajj.com.ar/assets/img/nav.png";;;;;;;;;"Andres Esteban Legallais";;"infocajj@gmail.com";"https://www.facebook.com/cajjoficial/";;;;0;;"IBJJF";;"AR";6830
"Zenith Argentina";;;"Calle 25 (onhe 32 y 33) n. 34 La Loma";"La Plata";;;;"Argentina";;;;;;;;;;;"Rodrigo Henrique Cavaca";;;;;;;0;;"IBJJF";;"AR";6793
"Chave de Ouro BJJ";"https://chavedeouro.com.au/";" + 61 4 1047 3804";"1/144 Gladstone Street";"Fyshwick";"ACT";2609;;"Australia";"Brazilian Jiu-Jitsu is a proven, effective form of self-defence. The same techniques you will learn that are taught to the U.S. Army, FBI, Secret Service and many other elite military and law enforcement agencies around the world. With 95% of all street fights ending up on the ground, Brazilian Jiu-Jitsu’s focus on grappling on the ground makes it the best martial art for self-defence.";"https://chavedeouro.com.au/wp-content/uploads/2018/11/logo-chave-de-ouro.jpg";"https://chavedeouro.com.au/kids-martial-arts/";"Our Brazilian Jiu Jitsu for kids program at Chave de Ouro Canberra integrates physical education and self-defence techniques with conditioning and fun, skill-oriented games. In the Kids jiu jitsu program, our goal is to instill in your child unshakable confidence so they can overcome bullies without violence. We will teach your child several non-violent self-defense techniques to stay safe if physically assaulted. Importantly, we don’t teach how to punch or kick, since this often does more harm than good. Instead, we use leverage-based control holds to neutralize threats without violence.";;;;"Adults Program - $31.00 - One (1) Class per Week, $38.00 - Two (2) Classes per Week, $45.00 - Unlimited Classes per Week; Kids Program - $22.00 - One (1) Class per Week, $28.00 - Two (2) Classes per Week, $32.00 - Unlimited Classes per Week";"https://chavedeouro.com.au/schedule/";;"Renato Lima Vieira";"Adults Classes - Online Special - Sign up now and save 10% off the Unlimited Membership. Includes: Unlimited Classes, $40.50 per week, Sign up Fee / Waived (only online special), No Contracts";"info@chavedeouro.com.au";"https://www.facebook.com/ribeirocanberra/";;;;0;;"IBJJF";;"AU";6752
"The Jiu-Jitsu Studio Darwin";"https://www.thejiu-jitsustudiodarwin.com/";" + 61 4 3770 4839";"2/19 Toupein Road";"Yarrawonga";"NT";"0830";;"Australia";"Tribal Dragon Martial Arts was founded in 2000 by Warrick Drew and started trading as The Jiu Jitsu in November 2018 when Queenie and Warrick decided to team up after 8 years of training together. The Jiu Jitsu Studio Darwin (JJSD) is founded on trust, respect, friendship and to defend those who can not defend themselves. Based upon traditional values, the JJSD is a multi disciplined martial arts studio fostering well being through strength of the mind and body. Located in the heart of Yarrawonga, the JJSD is equipped with floor and wall mats for the full MMA experience. The JJSD makes your training regime accessible with a wide range of membership options, including 10, 20 visit pass cards and annual direct debit memberships. The JJSD works with beginners through to professional athletes from as young as 4 years of age. All our instructors cover personal development skills such as respect, discipline, listening, following instruction, healthy fit life style, anti-bullying, self-defence, self-confidence, self-respect, training and competing with honour and how to deal with competition and loss.";"https://static.wixstatic.com/media/f5f9c2_9640a2974a994e688a3f484c98a1bf5d~mv2.jpg/v1/fill/w_514,h_163,al_c,q_80,usm_0.66_1.00_0.01/The-Jujitsu-Studio-DARWIN--Hori.webp";"https://www.thejiu-jitsustudiodarwin.com/disciplines";"KINDA JITZ (BJJ AGE 4 and UP) - Develop a child socially, emotionally, cognitively and physically through a safe, structured, multi-sensory environment. LITTLE DRAGONS (BJJ AGE 6 and UP) - Promotes independence discipline and respect. The program commences with a warm up, gross motor-based skills for balance and strength, along with basic action skills such as forward rolls, body movement patterns, crash landings and break falls, running, skipping, hopping and dodging. MAT RATS (JUDO AGE 6 and UP) - Promotes independence, discipline and respect. The program commences with a warm up, gross motor-based skills for balance and strength, along with basic action skills such as forward rolls, crash landings and break falls, running, skipping hopping, and dodging. ";"https://www.thejiu-jitsustudiodarwin.com/disciplines";"These classes are aimed at all levels wishing to learn and practice BJJ and Judo in an all female safe environment. Develop basic skills, falling, landing, foot work, understanding the body and human movement. Learn self preservation techniques. Learn ground escapes and self defense ground positions. Practice techniques against other ladies. Build confidence within yourself. Pathways to public amateur events are available.";"Judo, Vinyasa Beginner Yoga ";;"https://www.thejiu-jitsustudiodarwin.com/timetable";;"Warrick Drew";;"info@thejiu-jitsustudiodarwin.com";"https://www.facebook.com/thejiujitsustudiodarwin/";;;;0;;"IBJJF";;"AU";7498
